STU_ID,BYS87A,BYS87C,BYS87F,F1S18A,F1S18B,F1S18C,F1S18D,F1S18E
112206,2,2,2,NA,NA,NA,NA,NA
112209,2,3,2,2,2,3,4,3
112210,4,4,3,NA,NA,NA,NA,NA
112211,3,3,3,2,3,3,4,4
112212,NA,NA,NA,NA,NA,NA,NA,NA
112213,2,2,2,NA,NA,NA,NA,NA
112214,NA,NA,NA,NA,NA,NA,NA,NA
112215,NA,NA,NA,4,4,4,4,4
112216,2,2,2,3,4,4,4,4
112218,2,2,NA,3,3,3,3,4
112219,3,3,3,4,4,4,4,4
112220,2,2,3,4,4,4,4,4
112221,3,3,3,2,2,2,3,2
112223,3,3,3,2,1,2,2,2
112224,NA,NA,NA,2,3,2,3,3
112225,3,3,3,NA,NA,NA,NA,NA
112226,NA,NA,NA,1,1,1,1,1
112228,4,4,4,4,4,4,4,4
112229,NA,NA,NA,NA,NA,NA,NA,NA
112231,2,2,2,2,2,1,3,3
112232,2,3,3,3,4,4,4,4
112233,NA,NA,NA,NA,NA,NA,NA,NA
112234,1,2,2,2,2,3,3,3
113101,3,3,3,3,2,2,2,2
113102,2,3,2,2,2,3,2,2
113103,3,3,3,2,3,3,2,2
113105,3,3,3,2,2,1,2,2
113106,1,2,2,2,2,2,3,3
113107,4,3,3,2,2,2,3,2
113109,2,3,3,4,2,2,4,4
113110,3,2,2,2,1,1,2,1
113111,2,3,3,NA,NA,NA,NA,NA
113112,3,4,4,NA,NA,NA,NA,NA
113113,3,4,4,3,3,3,3,3
113114,2,3,1,NA,NA,NA,NA,NA
113116,2,3,3,3,2,2,3,3
113117,NA,NA,NA,2,1,1,2,1
113118,4,3,3,NA,NA,NA,NA,NA
113119,3,3,2,2,2,2,2,2
113120,4,4,4,2,2,2,2,2
113121,3,3,3,2,2,2,3,4
113124,NA,NA,NA,NA,NA,NA,NA,NA
113126,3,1,1,4,4,4,4,4
113127,3,4,4,3,3,3,3,4
113128,NA,NA,NA,2,2,1,4,2
113130,3,4,3,3,2,2,3,3
113131,3,4,3,NA,NA,NA,NA,NA
113132,3,3,3,3,1,2,3,2
113133,3,3,3,NA,NA,NA,NA,NA
113201,2,3,2,3,3,3,3,3
113202,3,NA,NA,2,1,3,3,3
113203,NA,NA,NA,NA,NA,NA,NA,NA
113204,3,2,2,3,3,3,3,3
113205,3,2,1,NA,NA,NA,NA,NA
113206,2,2,2,NA,NA,NA,NA,NA
113207,4,4,4,3,2,2,3,3
113208,NA,NA,NA,NA,NA,NA,NA,NA
113209,2,2,1,3,3,3,3,3
113210,NA,NA,NA,NA,NA,NA,NA,NA
113211,3,3,2,2,2,3,4,3
113212,4,4,3,2,2,3,3,3
113213,2,3,3,2,1,2,2,2
113214,2,2,2,4,4,4,4,4
113215,2,2,2,4,4,4,4,4
113216,3,4,3,2,2,1,2,2
113217,2,3,3,NA,NA,NA,NA,NA
113218,NA,NA,NA,2,3,2,2,2
113219,2,3,2,2,2,2,3,3
113220,3,3,3,NA,NA,NA,NA,NA
113221,1,2,2,4,3,4,4,3
113222,3,4,4,1,2,2,2,1
113223,NA,NA,NA,NA,NA,NA,NA,NA
113225,3,2,2,NA,NA,NA,NA,NA
113226,NA,NA,NA,NA,NA,NA,NA,NA
113227,2,2,2,NA,NA,NA,NA,NA
113228,3,3,3,3,1,1,2,2
113229,NA,NA,NA,3,2,2,3,4
113230,NA,NA,NA,NA,NA,NA,NA,NA
113231,NA,NA,NA,3,2,2,3,3
113232,2,1,2,NA,NA,NA,NA,NA
113233,NA,NA,NA,NA,NA,NA,NA,NA
113234,2,3,2,3,3,2,3,4
113261,NA,NA,NA,NA,NA,NA,NA,NA
